disease,symptoms,precautions,specialist,urgency
Seborrheic Dermatitis,"greasy, yellowish scales on scalp (dandruff), eyebrows, nasolabial folds, behind ears, redness, itching","Antifungal shampoos (ketoconazole), topical corticosteroids, calcineurin inhibitors, avoid irritants",Dermatologist,Low
Sepsis,"fever, rapid heart rate, rapid breathing, confusion, low BP","Emergency IV fluids, broad-spectrum antibiotics, source control, vasopressors",Emergency Physician,High
Serotonin Syndrome,"agitation, clonus, hyperreflexia, tremor, hyperthermia","Discontinue serotonergic drug, benzodiazepines, cyproheptadine, cooling, supportive care",Emergency Physician,High
Shigellosis,"bloody diarrhea, fever, tenesmus, abdominal cramps, seizure (children)","Fluids, antibiotics (ciprofloxacin, azithromycin), hygiene, avoid antidiarrheals",General Practitioner,High
Shigellosis (Bacillary Dysentery),"bloody diarrhea, fever, tenesmus, abdominal cramps, seizure (children)","Fluids, antibiotics (ciprofloxacin, azithromycin), hygiene, avoid antidiarrheals",General Practitioner,High
Shingles (Herpes Zoster),"unilateral painful rash, burning, tingling, headache, fever","Antivirals within 72h, vaccination, avoid contact with pregnant/immunocompromised",Infectious Disease Specialist,Medium
Sickle Cell Anemia (Disease),"pain crises (dactylitis in infants), anemia, jaundice, acute chest syndrome, avascular necrosis (hip), stroke","Hydration, pain management, hydroxyurea, vaccinations, folic acid, chronic transfusion",Hematologist,High
Sickle Cell Disease,"pain crises, anemia, swelling of hands/feet, fatigue, jaundice","Hydration, pain management, hydroxyurea, vaccinations, folic acid",Hematologist,High
Sickle Cell Trait,"asymptomatic but possible hematuria, inability to concentrate urine, splenic infarction at high altitude","No treatment, genetic counseling, avoid extreme conditions, stay hydrated",Hematologist,Low
Silicosis,"progressive shortness of breath, cough, sputum, fatigue, chest pain (after silica dust exposure)","Avoid further exposure, treat with anti-fibrotics (nintedanib?) supportive care (oxygen), monitor for TB",Pulmonologist,High
Sinusitis,"facial pain/pressure, nasal congestion, postnasal drip, decreased smell, fever","Saline irrigation, decongestants, nasal steroids, antibiotics if bacterial",Otolaryngologist,Medium
Sinusitis (Acute),"facial pain/pressure (maxillary area), nasal congestion, postnasal drip, decreased smell, fever","Saline irrigation, decongestants, nasal steroids, antibiotics if bacterial (10-14 days)",Otolaryngologist,Medium
Sjögren's Syndrome,"dry eyes, dry mouth, parotid enlargement, joint pain, fatigue","Artificial tears/saliva, pilocarpine, hydroxychloroquine, dental care, manage extraglandular",Rheumatologist,Medium
Sleep Apnea,"snoring, gasping during sleep, daytime sleepiness, morning headache, dry throat","CPAP, oral appliance, weight loss, avoid alcohol before bed, position therapy",Pulmonologist,Medium
Sleep Apnea (Obstructive),"snoring, gasping during sleep, daytime sleepiness, morning headache, dry throat","CPAP, oral appliance, weight loss, avoid alcohol before bed, position therapy",Pulmonologist,Medium
Social Anxiety Disorder,"intense fear of social situations, blushing, trembling, nausea, avoidance","CBT, SSRIs, group therapy, exposure therapy, beta-blockers for performance",Psychiatrist,Medium
Sodium Channelopathy (Genetic Epilepsy) - general term, not specific disease,,,
Somatic Symptom Disorder,"one or more persistent physical symptoms (pain, weakness), disproportionate thoughts/feelings, excessive health-related behaviors, distress","CBT, gradual reintroduction of activities, treat comorbid depression/anxiety, avoid unnecessary procedures",Psychiatrist,Medium
Spasmodic Dysphonia,"voice breaks (adductor type), strained-strangled voice, effortful speech, tremor, worse with stress","Botulinum toxin injections (into laryngeal muscles), voice therapy, treat underlying dystonia",Otolaryngologist,Medium
Spina Bifida,"neural tube defect, lower limb paralysis, bladder/bowel dysfunction, hydrocephalus, latex allergy","Prenatal/postnatal closure, VP shunt, urological management, mobility aids",Neurosurgeon,High
Spinal Cord Injury (Traumatic),"paralysis (quadriplegia or paraplegia), loss of sensation, bladder/bowel dysfunction, spasticity, autonomic dysreflexia","Spine immobilization, surgery for decompression/stabilization, rehabilitation (PT,OT), manage bladder/bowel",Physiatrist,High
Spinal Muscular Atrophy (SMA),"proximal muscle weakness (greater than distal), hypotonia (floppy baby), areflexia, tongue fasciculations, progressive respiratory failure","Nusinersen (Spinraza), risdiplam, gene therapy (Zolgensma for type 1), respiratory support",Neurologist,High
Spinal Stenosis,"leg pain/cramping with walking (neurogenic claudication), numbness, weakness, balance problems","Physical therapy, epidural injections, decompression surgery, activity modification",Orthopedist,Medium
Spinal Stenosis (Lumbar),"leg pain/cramping with walking (neurogenic claudication), numbness, weakness, balance problems, relieved by bending forward","Physical therapy, epidural injections, decompression surgery (laminectomy), activity modification",Orthopedist,Medium
Spinal Tuberculosis (Pott Disease),"back pain (worse at night), kyphosis (gibbus deformity), fever, weight loss, neurological deficit (paraplegia)","Anti-tubercular therapy (9-12 months), spinal brace, surgery if instability/abscess",Infectious Disease Specialist,High
Splenic Rupture,"left upper quadrant pain, tenderness, referred pain to left shoulder (Kehr's sign), hypotension, peritonitis (after trauma)","Emergency splenectomy (or embolization), blood transfusion, vaccination post-splenectomy (pneumococcus, meningococcus)",General Surgeon,High
Spondylolisthesis,"low back pain (worse with extension), hamstring tightness, radicular leg pain, weakness, waddling gait","Physical therapy (core strengthening), bracing, NSAIDs, surgery (decompression/fusion) if severe",Orthopedist,Medium
Sporotrichosis (Rose Gardener's),"ulcerated skin nodule (inoculation site), lymphocutaneous spread (nodular lymphangitis), painless, fixed cutaneous, pulmonary (rare)","Itraconazole (oral), saturated potassium iodide (alternative), avoid thorny plants, protective gloves",Dermatologist,Medium
Squamous Cell Carcinoma (Skin),"firm red nodule, scaly plaque, ulceration, bleeding, crust, on sun-exposed areas","Surgical excision, Mohs surgery, radiation, sun protection, regular skin exams",Dermatologist,Medium
St. Louis Encephalitis,"fever, headache, confusion, dysarthria, coma","Supportive care, control of intracranial pressure, no specific antiviral, mosquito control",Infectious Disease Specialist,High
Staphylococcal Scalded Skin Syndrome,"diffuse erythema, flaccid bullae, positive Nikolsky sign, skin exfoliation, fever (infants/children)","IV antistaphylococcal antibiotics (nafcillin, vancomycin), supportive care (fluids, wound care), isolation",Dermatologist,High
Status Epilepticus,"continuous seizure activity (>5 minutes), or ≥2 seizures without recovery in between, impaired consciousness, convulsions","Benzodiazepines (IV lorazepam, IM midazolam), second-line (levetiracetam, phenytoin), treat underlying cause",Neurologist,High
Stevens-Johnson Syndrome (SJS),"prodrome (fever, flu-like), then painful rash (blisters, erosions) on skin and mucous membranes, positive Nikolsky sign","Stop culprit drug (often antibiotics, anticonvulsants), burn unit care, IVIG, supportive care (fluids, wound care)",Dermatologist,High
Stomach Cancer (Gastric Adenocarcinoma),"indigestion, early satiety, weight loss, abdominal pain, nausea, melena (black stools)","Surgical resection (gastrectomy), chemotherapy (perioperative), HER2 testing (trastuzumab), H. pylori eradication",Oncologist,High
Stomach Flu (Gastroenteritis),"nausea, emesis (vomiting), diarrhea, abdominal cramps ","Oral rehydration, rest, avoid dairy/spicy food, hand hygiene",General Practitioner,Low
Strabismus (Crossed Eyes),"misaligned eyes (esotropia or exotropia), double vision (adults), amblyopia risk (children), abnormal head posture","Glasses (refractive error), patching (for amblyopia), eye muscle surgery, prisms for diplopia",Ophthalmologist,Medium
Strep Throat (Streptococcal Pharyngitis),"sore throat (severe), fever, red swollen tonsils (exudates), anterior cervical lymphadenopathy, no cough","Antibiotics (penicillin or amoxicillin), analgesics, hydration, prevent rheumatic fever",General Practitioner,Medium
Stress Fracture (Metatarsal),"localized pain (worse with weight-bearing), swelling, tenderness over bone, resolves with rest","Rest, immobilization (walking boot), gradual return to activity, calcium/vitamin D, avoid high-impact",Orthopedist,Low
Stroke,"sudden numbness, confusion, trouble speaking, severe headache, loss of balance","Call emergency immediately, note time of onset, do not give aspirin",Neurologist,High
Stroke (Ischemic),"sudden numbness (one side), confusion, trouble speaking, severe headache, loss of balance","Call emergency immediately, note time of onset, do not give aspirin (until CT), thrombolysis if eligible",Neurologist,High
Subarachnoid Hemorrhage,"thunderclap headache (worst ever), neck stiffness, photophobia, nausea, vomiting, loss of consciousness","Emergency neurosurgery (clipping or coiling), BP control, nimodipine (prevent vasospasm), supportive care",Neurosurgeon,High
Subdural Hematoma (Chronic),"headache (persistent), confusion, drowsiness, personality changes, weakness (contralateral)","Surgical drainage (burr hole), reversal of anticoagulation, conservative if asymptomatic",Neurosurgeon,High
Subphrenic Abscess,"fever, upper abdominal pain, referred shoulder pain, nausea, hiccups (after abdominal surgery)","Percutaneous drainage, IV antibiotics, treat underlying source, nutritional support",General Surgeon,High
Sudden Sensorineural Hearing Loss,"sudden hearing loss (one ear, over 72 hours), tinnitus, vertigo, aural fullness, often no identifiable cause","Corticosteroids (oral or intratympanic), hyperbaric oxygen, MRI to rule out acoustic neuroma",Otolaryngologist,High
Sydenham's Chorea (Rheumatic Chorea),"involuntary, rapid, irregular movements (face, hands), hypotonia, emotional lability, weakness","Antibiotics for strep (penicillin), anticonvulsants (valproate) if disabling, treat rheumatic heart disease",Neurologist,Medium
Syphilis,"painless sore (chancre), rash on palms/soles, fever, lymphadenopathy, neurologic symptoms","Penicillin, treat partners, serial titers, avoid sex until cured",Infectious Disease Specialist,High
Syringomyelia,"dissociated sensory loss (loss of pain/temperature, preserved touch), muscle weakness (hands, shoulders), atrophy, scoliosis","Surgical decompression (syringostomy or shunting), treat Chiari malformation (if present), physical therapy",Neurosurgeon,High
Systemic Mastocytosis,"urticaria pigmentosa, flushing, abdominal pain, diarrhea, anaphylaxis, bone pain","Antihistamines (H1 and H2), mast cell stabilizers (cromolyn), epinephrine auto-injector, avoid triggers",Allergist,Medium
Takayasu's Arteritis,"absent pulses, claudication, blood pressure difference in limbs, syncope, fever","Corticosteroids, tocilizumab, revascularization if indicated, monitor for aneurysms",Rheumatologist,High
Tapeworm Infection (Cestode),"abdominal pain, nausea, passage of proglottids (segments in stool), weight loss, perianal itching","Praziquantel or niclosamide, cook meat thoroughly, sanitation, avoid raw pork/beef",General Practitioner,Medium
Tapeworm Infection (Taeniasis),"abdominal pain, nausea, passage of proglottids, weight loss, perianal itching","Praziquantel or niclosamide, cook meat thoroughly, sanitation, avoid raw pork/beef",General Practitioner,Medium
Tay-Sachs Disease,"progressive neurological deterioration (start 3-6 months), cherry-red spot on macula, hyperacusis (exaggerated startle), hypotonia, seizures","Supportive care (seizure control, nutrition), no cure, genetic counseling, prenatal testing",Geneticist,High
Temporal Arteritis,"new headache, jaw claudication, vision loss (transient or permanent), scalp tenderness, elevated ESR","High-dose corticosteroids, do not delay treatment, temporal artery biopsy, protect vision",Rheumatologist,High
Temporomandibular Joint Disorder (TMJ),"jaw pain (or when chewing), clicking or popping sound, locking of jaw, headache, earache","Bite splint, physical therapy (jaw exercises), NSAIDs, avoid hard/chewy foods, stress management",Dentist,Low
Tennis Elbow,"lateral elbow pain, weak grip, pain with wrist extension, tenderness, morning stiffness","Rest, ice, brace, physical therapy, corticosteroid injection",Orthopedist,Low
Tension Headache,"dull pressure headache, neck tightness, scalp tenderness, mild fatigue","Stress management, OTC pain relievers, posture correction, hydration",General Practitioner,Low
Testicular Cancer,"painless testicular lump, heaviness, dull ache, back pain (if metastasis), gynecomastia","Orchiectomy (diagnostic and therapeutic), surveillance, chemotherapy (BEP), radiation for seminoma",Urologist,High
Testicular Torsion,"sudden severe testicular pain, swelling, nausea, vomiting, abnormal position","Emergency surgery, manual detorsion if possible, prompt care",Urologist,High
Tetanus,"muscle spasms, lockjaw, difficulty swallowing, rigidity, fever","Wound cleaning, tetanus vaccine, antitoxin, ICU support",Emergency Physician,High
Tetralogy of Fallot,"cyanotic spells (infants), systolic murmur (pulmonary stenosis), clubbing, polycythemia, squatting to relieve spells","Surgical repair (total correction in infancy), beta-blockers (propranolol) for spells, avoid dehydration, iron supplementation",Cardiologist,High
Thalassemia,"fatigue, pallor, bone deformities, jaundice, growth delay","Blood transfusions, chelation therapy, folic acid, bone marrow transplant",Hematologist,High
Thalassemia Major,"severe anemia, growth failure, jaundice, skeletal deformities, hepatosplenomegaly","Regular transfusions, chelation therapy, folic acid, bone marrow transplant",Hematologist,High
Thalassemia Major (Beta),"severe anemia, growth failure, jaundice, skeletal deformities (frontal bossing, maxillary overgrowth), hepatosplenomegaly","Regular transfusions, chelation therapy (deferasirox), folic acid, bone marrow transplant",Hematologist,High
Thiamine Deficiency (Beriberi),"dry beriberi: peripheral neuropathy, muscle wasting, foot drop; wet beriberi: high-output heart failure, edema, tachycardia","Thiamine supplementation (oral or IV), treat underlying cause (alcoholism, malnutrition), supportive care for heart failure",General Practitioner,Medium
Thoracic Outlet Syndrome,"arm pain (ulnar distribution), numbness/tingling (fourth/fifth digits), weakness (hand grip), pallor/coolness (arterial), swelling (venous)","Physical therapy (first-line), NSAIDs, avoid overhead activities, surgical decompression (if refractory)",Vascular Surgeon,Medium
Thrombotic Thrombocytopenic Purpura,"thrombocytopenia, microangiopathic hemolytic anemia, fever, renal failure, neurological symptoms","Plasma exchange, corticosteroids, rituximab, avoid platelet transfusion (unless life-threatening)",Hematologist,High
Thrombotic Thrombocytopenic Purpura (TTP),"thrombocytopenia, microangiopathic hemolytic anemia (schistocytes), fever, renal failure, neurological symptoms","Plasma exchange, corticosteroids, rituximab, avoid platelet transfusion (unless life-threatening)",Hematologist,High
Thrush (Oral Candidiasis),"white plaques on tongue/oral mucosa, erythema, soreness, difficulty swallowing, immunocompromised","Topical antifungals (nystatin), oral fluconazole for severe cases, treat underlying cause (HIV, diabetes)",Dentist,Medium
Thyroid Cancer (Papillary),"painless thyroid nodule (anterior neck), hoarseness (if recurrent laryngeal nerve involved), dysphagia, neck lymphadenopathy","Thyroidectomy (total or lobectomy), radioactive iodine (if high risk), TSH suppression, monitoring thyroglobulin",Oncologist,Medium
Tinea Capitis (Ringworm of Scalp),"scaly patch, hair loss (broken hairs at base), black dots, erythema, itching, kerion (inflammatory mass)","Oral antifungals (griseofulvin, terbinafine), ketoconazole shampoo (adjunct), avoid sharing combs/hats",Dermatologist,Medium
Tinea Corporis (Ringworm),"ring-shaped rash (red, scaly border, central clearing), itching, spreading, multiple lesions","Topical antifungals (clotrimazole, miconazole), keep area dry, avoid contact with pets",Dermatologist,Low
Tinea Pedis (Athlete's Foot),"itching, burning, scaling (between toes, soles), maceration (web spaces), blisters","Topical antifungals (terbinafine, clotrimazole), keep feet dry, wear breathable shoes, avoid walking barefoot in communal areas",Dermatologist,Low
Tinea Versicolor (Pityriasis Versicolor),"hypopigmented or hyperpigmented macules (trunk, shoulders), fine scale, mild itching","Topical antifungals (selenium sulfide, ketoconazole), oral fluconazole (if widespread), avoid oily skin, sun exposure may highlight lesions",Dermatologist,Low
Tonsillitis,"sore throat, red/swollen tonsils, white patches, fever, difficulty swallowing","Antibiotics if bacterial, pain relief, tonsillectomy if recurrent, hydration",Otolaryngologist,Medium
Tonsillitis (Acute),"sore throat, red/swollen tonsils, white patches (exudates), fever, difficulty swallowing","Antibiotics if bacterial (streptococcus), pain relief (NSAIDs), hydration, tonsillectomy if recurrent",Otolaryngologist,Medium
Tourette Syndrome,"motor and vocal tics, premonitory urge, waxing-waning course, associated behavioral issues","CBIT, alpha-agonists, antipsychotics for severe, education",Neurologist,Medium
Toxoplasmosis,"lymphadenopathy, fever, malaise, retinochoroiditis (congenital), brain abscess (immunocompromised)","Pyrimethamine + sulfadiazine + leucovorin, avoid cat litter, cook meat well",Infectious Disease Specialist,High
Toxoplasmosis (Congenital),"hydrocephalus, intracranial calcifications, chorioretinitis, seizures, psychomotor retardation (if infected during pregnancy)","Pyrimethamine + sulfadiazine + leucovorin (maternal treatment), spiramycin (prevent transmission), monitor for eye/brain",Infectious Disease Specialist,High
Tracheitis (Bacterial),"stridor, high fever, croup-like cough (but more toxic appearance), respiratory distress, purulent secretions","Airway management (intubation if needed), IV antibiotics (antistaphylococcal), humidified oxygen",Pediatrician,High
Transient Ischemic Attack,"temporary weakness, slurred speech, vision loss, dizziness, numbness","Emergency evaluation, antiplatelet therapy, manage BP, control cholesterol",Neurologist,High
Transient Ischemic Attack (TIA),"temporary weakness (one side), slurred speech, vision loss, dizziness, numbness","Emergency evaluation, antiplatelet therapy (aspirin, clopidogrel), manage BP, control cholesterol",Neurologist,High
Transverse Myelitis,"sudden onset weakness (legs ascending), sensory level (numbness below level), back pain, urinary retention, constipation","IV corticosteroids (methylprednisolone), plasma exchange (if severe), physical therapy, treat underlying cause",Neurologist,High
Trichinosis (Trichinellosis),"diarrhea (early), then periorbital edema, myalgia (severe), fever, eosinophilia, subconjunctival hemorrhages","Albendazole (or mebendazole), corticosteroids (if severe symptoms), avoid raw/undercooked meat (pork, wild game)",Infectious Disease Specialist,Medium
Trichomoniasis,"vaginal discharge (frothy, yellow-green, foul), itching, dysuria, strawberry cervix, asymptomatic in men","Metronidazole or tinidazole (treat both partners), avoid alcohol during treatment, safe sex",Gynecologist,Medium
Trichotillomania (Hair Pulling),"recurrent pulling out of hair (scalp, eyebrows, lashes), noticeable hair loss, tension before pulling, relief after, not due to another condition","CBT (habit reversal training), N-acetylcysteine (supplement), treat comorbid anxiety/depression",Psychiatrist,Medium
Trichuriasis,"abdominal pain, bloody diarrhea (dysentery), rectal prolapse, tenesmus, anemia","Albendazole or mebendazole, iron replacement, sanitation, wash fruits/vegetables",General Practitioner,Medium
Trigeminal Neuralgia,"severe facial pain (electric shock-like), triggered by touch/chewing, burning sensation","Carbamazepine, nerve block, microvascular decompression, avoid triggers",Neurologist,Medium
Trisomy 18 (Edwards Syndrome),"rocker-bottom feet, low-set ears, micrognathia, clenched hands (overlapping fingers), intellectual disability, heart defects","Supportive care (feeding difficulties, apnea), treat infections, no curative, palliative care",Geneticist,High
Tropical Sprue,"chronic diarrhea, weight loss, malabsorption (fat, B12, folate), glossitis, cheilosis","Tetracycline or doxycycline, folic acid supplementation, B12 injections (if deficient)",Gastroenterologist,Medium
Tuberculosis,"chronic cough, night sweats, weight loss, fever, hemoptysis","Isolate until non-infectious, complete antibiotics, cough hygiene",Infectious Disease Specialist,High
Tuberculosis (Latent),"asymptomatic, positive PPD or IGRA, normal chest X-ray, no active disease","Isoniazid for 9 months (or rifampin for 4 months), monitor for hepatotoxicity, treat if immunocompromised",Infectious Disease Specialist,High
Tularemia,"ulceroglandular lesion, fever, lymphadenopathy, pneumonia, conjunctivitis","Streptomycin, gentamicin, doxycycline, avoid handling wild rodents, tick precautions",Infectious Disease Specialist,High
Type 1 Diabetes,"thirst, frequent urination, weight loss, fatigue, blurred vision","Insulin therapy, carbohydrate counting, glucose monitoring, ketone testing",Endocrinologist,High
Type 2 Diabetes,"thirst, frequent urination, fatigue, blurred vision, slow healing","Diet, exercise, metformin, monitor glucose, foot care",Endocrinologist,Medium
Typhoid Fever,"prolonged fever, headache, abdominal pain, rose spots, constipation or diarrhea","Ciprofloxacin or ceftriaxone, hydration, typhoid vaccine, avoid contaminated food/water",Infectious Disease Specialist,High
Typhoid Fever (Enteric Fever),"prolonged fever (stepwise), headache, abdominal pain, rose spots (trunk), constipation or diarrhea, relative bradycardia","Ciprofloxacin or ceftriaxone, hydration, typhoid vaccine, avoid contaminated food/water",Infectious Disease Specialist,High
Ulcerative Colitis,"bloody diarrhea, urgency, abdominal pain, fatigue, weight loss","Aminosalicylates, biologics, hydration, colonoscopy surveillance",Gastroenterologist,High
Uremia (Chronic Kidney Disease Stage 5),"nausea, vomiting, fatigue, confusion, pruritus, metallic taste, muscle cramps","Dialysis (hemodialysis or peritoneal), kidney transplant, low-protein diet, control BP",Nephrologist,High
Urinary Tract Infection,"dysuria, frequency, urgency, cloudy urine, suprapubic pain","Antibiotics, hydration, cranberry (prevention), void after intercourse",Urologist,Medium
Urinary Tract Infection (Lower),"dysuria, frequency, urgency, cloudy urine, suprapubic pain","Antibiotics (nitrofurantoin, TMP-SMX), hydration, cranberry (prevention), void after intercourse",Urologist,Medium
Urticaria (Hives) Acute,"raised, itchy, red welts (wheals), individual lesions last <24 hours, angioedema (face, lips), triggered by foods/drugs/infection","Antihistamines (nonsedating), avoid triggers, epinephrine (if anaphylaxis), steroids (if severe)",Allergist,Low
Uterine Fibroids,"heavy periods, pelvic pressure, frequent urination, constipation, backache","Watchful waiting, hormonal meds, embolization, myomectomy",Gynecologist,Medium
Uterine Fibroids (Leiomyoma),"heavy periods (menorrhagia), pelvic pressure, frequent urination, constipation, backache","Watchful waiting, hormonal meds (GnRH agonists), embolization (UAE), myomectomy, hysterectomy",Gynecologist,Medium
Uveitis (Anterior),"eye pain, redness (ciliary flush), photophobia, blurred vision, small or irregular pupil","Topical corticosteroids (prednisolone), cycloplegics (atropine), treat underlying cause (HLA-B27, sarcoidosis)",Ophthalmologist,Medium
Vaginal Candidiasis (Yeast Infection),"thick white discharge (cottage cheese), itching, burning, erythema, dyspareunia","Topical azoles (clotrimazole, miconazole), oral fluconazole (single dose), avoid antibiotics/ tight clothing",Gynecologist,Low
Varicose Veins,"bulging veins, aching legs, heaviness, itching, skin changes","Compression stockings, exercise, elevate legs, laser or surgery",Vascular Surgeon,Low
Varicose Veins (Lower Limb),"bulging veins, aching legs, heaviness, itching, skin changes (venous stasis dermatitis)","Compression stockings, exercise, elevate legs, laser or surgery (ablation, sclerotherapy)",Vascular Surgeon,Low
Vasculitis,"purpura, digital ischemia, mononeuritis multiplex, fever, renal involvement","Corticosteroids, cyclophosphamide, rituximab, biopsy, treat underlying cause",Rheumatologist,High
Vasculitis (Leukocytoclastic),"palpable purpura (lower extremities), urticaria, ulcers, fever, arthralgia, renal involvement","Treat underlying cause, dapsone, colchicine, corticosteroids for severe, antihistamines",Rheumatologist,Medium
Ventricular Septal Defect (VSD),"harsh holosystolic murmur (left lower sternal border), tachypnea, poor feeding, failure to thrive, frequent respiratory infections (if large)","Observation (small may close spontaneously), surgical closure (if large or failure to thrive), prophylactic antibiotics (prior dental work)",Cardiologist,Medium
Vertigo (Benign Paroxysmal Positional - BPPV),"brief episodes of spinning vertigo triggered by head movement (rolling in bed), nausea, nystagmus, no hearing loss","Epley maneuver (canalith repositioning), vestibular suppressants (meclizine) for acute, avoid triggering positions",Otolaryngologist,Low
Viral Hemorrhagic Fevers (group) - specific diseases already listed (Ebola, Marburg, Lassa, etc.),
Vitamin B12 Deficiency,"fatigue, pallor, paresthesia, balance problems, cognitive changes","Oral or IM B12, dietary sources (meat/eggs), treat pernicious anemia, monitor levels",Hematologist,Medium
Vitamin D Deficiency,"bone pain (ribs, legs), muscle weakness, fatigue, frequent fractures, depression","Supplementation (ergocalciferol or cholecalciferol), sun exposure, calcium intake, treat malabsorption",General Practitioner,Medium
Vitiligo,"depigmented patches (face/ hands/ genitals), premature graying, Koebner phenomenon","Topical corticosteroids, UVB phototherapy, tacrolimus, camouflage makeup",Dermatologist,Low
Von Hippel-Lindau Disease,"hemangioblastomas (retina, cerebellum, spinal cord), renal cysts/cancer, pheochromocytoma, pancreatic cysts/neuroendocrine tumors","Annual surveillance (MRI, eye exam, blood pressure, urine metanephrines), surgical resection of tumors",Geneticist,High
Von Willebrand Disease (Type 1),"mucocutaneous bleeding (easy bruising, epistaxis, menorrhagia), prolonged bleeding after surgery, mild factor VIII deficiency","Desmopressin (DDAVP) for bleeding, tranexamic acid (oral), factor VIII/vWF concentrates (if severe), avoid aspirin",Hematologist,Medium
Waldenström Macroglobulinemia,"fatigue, weakness (anemia), night sweats, weight loss, blurred vision (hyperviscosity), bleeding","Rituximab, chemotherapy (bendamustine or ibrutinib), plasmapheresis (if hyperviscosity), supportive care",Oncologist,High
Warts (Verruca Vulgaris),"rough, raised papules (finger, hand, feet), black dots (thrombosed capillaries), plantar (painful on sole), filiform (face)","Salicylic acid (topical), cryotherapy, curettage, immunomodulators (imiquimod), avoid picking",Dermatologist,Low
West Nile Virus,"fever, headache, myalgia, rash, then meningitis/encephalitis in severe","Supportive care, hospitalization for neuroinvasive, no specific treatment, mosquito control",Neurologist,High
West Nile Virus (Neuroinvasive),"fever, headache, myalgia, rash (trunk), then meningitis/encephalitis (neck stiffness, confusion, weakness)","Supportive care (hospitalization), no specific antiviral, mosquito control, avoid blood transfusions in endemic",Infectious Disease Specialist,High
Whipple's Disease,"diarrhea (steatorrhea), abdominal pain, weight loss, arthralgia (migratory), fever, neurological symptoms (late)","IV ceftriaxone then oral TMP-SMX for 1 year, monitor for relapse, treat malabsorption",Gastroenterologist,High
Whooping Cough (Pertussis),"severe coughing fits, whoop sound, post-tussive vomiting, apnea in infants, fever","Antibiotics (azithromycin), isolation, vaccination (DTaP), supportive",Infectious Disease Specialist,High
Wilms' Tumor (Nephroblastoma),"abdominal mass (firm, nontender), hematuria, fever, hypertension, flank pain","Surgical resection (nephrectomy), chemotherapy (vincristine, dactinomycin), radiation (if advanced), genetic counseling",Oncologist,High
Wilson's Disease,"hepatic symptoms, neurological symptoms (tremor, dysarthria), Kayser-Fleischer rings, psychiatric","Copper chelators (penicillamine), zinc acetate, low-copper diet, lifelong treatment",Hepatologist,High
Wiskott-Aldrich Syndrome,"eczema, thrombocytopenia (small platelets), recurrent infections (pneumococcus, herpes), bloody diarrhea (autoimmune), lymphoma risk","Hematopoietic stem cell transplant (curative), IVIG, antibiotics (prophylaxis), avoid live vaccines",Immunologist,High
Wolff-Parkinson-White (WPW) Syndrome,"palpitations (paroxysmal), dizziness, syncope (rare), chest pain, short PR and delta wave on ECG","Catheter ablation (curative), antiarrhythmics (procainamide, amiodarone), avoid AV nodal blockers (digoxin, verapamil)",Cardiologist,Medium
X-linked Agammaglobulinemia (Bruton),"recurrent sinopulmonary infections (pneumonia, otitis media) starting after maternal antibodies wane (6-9 months), bronchiectasis, septic arthritis, no tonsils/adenoids","IVIG (immune globulin) replacement, antibiotics (prophylactic), treat infections aggressively, avoid live vaccines",Immunologist,High
X-linked Lymphoproliferative Syndrome,"severe infection with Epstein-Barr virus (EBV) leading to fulminant infectious mononucleosis, hemophagocytic lymphohistiocytosis (HLH), lymphoma","Treat EBV early (rituximab?), hematopoietic stem cell transplant (only cure), monitor for HLH, avoid EBV exposure",Immunologist,High
X-linked Retinoschisis,"decreased visual acuity (childhood), splitting of retinal layers (foveal schisis on OCT), peripheral bullous schisis, retinal detachment, strabismus","Low vision aids, treat retinal detachment surgically, avoid contact sports, genetic counseling",Ophthalmologist,Medium
Xeroderma Pigmentosum,"severe sun sensitivity (freckle-like pigmentation early), dry skin, photoaging, skin cancers (basal cell, squamous, melanoma) from childhood, eye (photophobia, keratitis)","Strict sun avoidance (protective clothing, sunscreen), regular skin exams, surgical excision of cancers, genetic counseling",Dermatologist,High
Yellow Fever,"fever, backache, nausea, jaundice, black vomit, hemorrhage","Supportive care, no antiviral, vaccination (very effective), mosquito control",Infectious Disease Specialist,High
Yersiniosis,"fever, abdominal pain (right lower quadrant mimicking appendicitis), diarrhea, lymphadenitis","Supportive care, antibiotics (trimethoprim-sulfamethoxazole) if severe, proper food handling",General Practitioner,Medium
Yersiniosis (Yersinia enterocolitica),"fever, abdominal pain (right lower quadrant, mimics appendicitis), diarrhea (bloody), vomiting, lymphadenitis (mesenteric)","Supportive care (hydration), antibiotics (trimethoprim-sulfamethoxazole, ceftriaxone) if severe, proper food handling",General Practitioner,Medium
Zika Virus,"fever, rash, joint pain, conjunctivitis, headache","Avoid pregnancy during infection, mosquito control, supportive care, safe sex",Infectious Disease Specialist,Medium
Zollinger-Ellison Syndrome,"severe peptic ulcers (atypical location, multiple, refractory), abdominal pain, diarrhea (watery, steatorrhea), GERD, weight loss","PPIs (high dose), tumor localization (octreotide scan), surgical resection (if solitary), treat metastases",Gastroenterologist,High
von Willebrand Disease,"mucocutaneous bleeding (epistaxis, menorrhagia), easy bruising, prolonged bleeding after surgery","Desmopressin (if type 1), factor concentrates, antifibrinolytics (tranexamic acid), avoid aspirin",Hematologist,Medium
